1049519	0.3333
1056204	0.1884
1056416	0.2621
1065636	0.0089
1103153	0.2667
1103812	0.4387
1105792	0.6304
1106007	0.041
1108100	0.0051
1108939	0.0002
1109707	0.3067
1112341	0.0734
1114646	0.4534
1117817	0
1133485	0.0236
1136769	0.3075
144862	0.5599
166046	0.1005
174463	0.0304
177604	0.4201
182539	0.8031
190044	0.0308
19335	0.3378
264403	0.0136
273695	0.1856
315637	0.0069
332593	0.5003
443396	0.0042
451602	0.1122
47923	0.3616
489204	0.0432
507445	0.0384
527433	0.1395
537817	0.0936
554515	0.4734
588587	0.0133
655914	0.1353
67316	0.0414
673670	0.1572
705609	0.0032
730539	0.3924
794429	0.035
801118	0.0049
86606	0.0179
87452	0.2949
877809	0.5233
883915	0.0128
88495	0.0002
915593	0.3896
966413	0.0076